,id,created_at,username,location,following,followers,retweet_count,search_term,text
1,1.52E+18,29/04/2022 16:18,butanmist,,410,88,0,ocean pollution,research discovers new bacteria that stick to plastic in the deep sea to travel around the ocean
2,1.52E+18,29/04/2022 16:17,GAIAnoburn,International,2253,6740,0,ocean pollution,both are terrible outcome that why we should not applaud unique for incinerating their cheap plastic clothing plastic becomes pollution as soon as its made whether it goes into the ocean an incinerator or a landfill its time for to
3,1.52E+18,29/04/2022 16:16,xxLonewolf310xx,,567,469,0,ocean pollution,is first not project to directly fund ocean conservation girl recycleocean
4,1.52E+18,29/04/2022 16:10,ExtractionArt,Planet Earth,2196,629,0,ocean pollution,under the high missions scenario that the scientists modeled in which pollution from the burning of fossil feels continues to climb warming would trigger ocean species loss by that was on par with the five mass extinction in earth’s past
5,1.52E+18,29/04/2022 16:01,CountingCoral,,328,175,0,ocean pollution,a dramatically changing soundscape is making life more complicated for ocean species and that is critical because noise is laying stop other stressors a species might be facing like chemical and plastic pollution or overfishing
6,1.52E+18,29/04/2022 15:47,ClimateBen,"Paris, France",48372,89518,36,ocean pollution,abrupt climate change with 4°can°c of global warming in the s combined with chemical plastic light amp noise pollution plus land amp ocean ecosystem destruction means we face an accelerating extinction predicament necessitating immediate profound economic system change thread
7,1.52E+18,29/04/2022 15:31,ecoMagNews,Global,1418,3128,0,ocean pollution,microplastics can carry landbased parasites to ocean affecting wildlife and human health finds
8,1.52E+18,29/04/2022 15:20,SmittyX1981,,12,0,0,ocean pollution,not dump trash in the ocean for a start the overwhelming majority of pollution comes from those two countries the us makes less than of the micro plastic found in garage island
9,1.52E+18,29/04/2022 15:20,kskskskskow,,6,1,0,ocean pollution,i would like to have country with no factories always summer never cold weather no pollution no millionaires in the worlds no pollution in the water and in the ocean and clean water for everyone
10,1.52E+18,29/04/2022 15:17,SarahDiver13,,3,1,0,ocean pollution,plastic pollution in the ocean via
11,1.52E+18,29/04/2022 15:14,GlobalActionPW,"UN Headquarters, NY, NY",3159,6655,1,ocean pollution,in un general assembly on the th anniversary of uncle cities ocean pollution unsustainable fishing and the diverse imparts of climate change which will require convention adaptations but this is fully feasible
12,1.52E+18,29/04/2022 15:02,maya_givens,Gypsy Soul; Ohio for now.,3411,2621,0,ocean pollution,not to mention the pollution and destruction of the ocean floor both mostly done by the fishing industry
13,1.52E+18,29/04/2022 14:50,trot_a,,2,11,0,ocean pollution,plastic pollution an estimated million tones of plastic end up in the ocean each year people let us not die
14,1.52E+18,29/04/2022 14:23,Giodude1580,On the Infinity Train,935,837,0,ocean pollution,they defended it by saying it is not an american ocean and thus there cannot be anything bad in the water only ocean that border the us have pollution body waste and harmful bacteria
15,1.52E+18,29/04/2022 14:22,AliceViews,Barbados,120,117,0,ocean pollution,incorrect america and a few other countries are responsible for like percent of pollution also the ocean and seas differ in their make in different areas the ocean around barbadoes has a high salt content so pp dip fruits do not do this in your filthy brickish water
16,1.52E+18,29/04/2022 14:02,nazani14,Virginia,7163,8237,0,ocean pollution,fight climate change fight deforestation amp pollution
17,1.52E+18,29/04/2022 13:51,TideOceanMat,"Basel-City, Switzerland",60,110,0,ocean pollution,you are right the virgin plastic industry does not solve the problem that is why we developed ocean material to tackle plastic pollution by cycling oceanbound plastic if you are interested let us talk
18,1.52E+18,29/04/2022 13:48,NANO4Ocean,,321,626,0,ocean pollution,free online course an introduction to oil pollution preparedness response and cooperation
19,1.52E+18,29/04/2022 13:29,WGEO_org,"Dubai, United Arab Emirates",148,3727,1,ocean pollution,how we manage our natural resources is essential for humanity and to counterbalance the effects of the aim to sustainably manage and protect marine and coastal ecosystems from pollution as well as address the imparts of ocean acidification
20,1.52E+18,29/04/2022 13:18,bobhillbrain,,636,520,0,ocean pollution,is in threat and we are in threat with it due our beneath the blue dive into a dazzling ocean under threat – interactive
21,1.52E+18,29/04/2022 13:14,Sarath_praveen_,#நெல்லை_சீமை,568,98,0,ocean pollution,stop ocean plastic pollution
22,1.52E+18,29/04/2022 12:57,st_bernardsps,,147,247,0,ocean pollution,pp doing some research on ocean pollution
23,1.52E+18,29/04/2022 12:55,LindaZehrung,"Anderson, IN",429,187,0,ocean pollution,no place on earth is immune to microplastic pollution we must take action now use your voice to push for policies to help keep plastic out of our ocean
24,1.52E+18,29/04/2022 12:50,JapuraS,bali ,0,2,0,ocean pollution,from pollution to solution unique not project which solved the problem of ocean pollutionour three heroes in the project framework will swim a marathon of km in the open ocean to draw the world’s attention to the problem of plastic pollution of the ocean
