,id,created_at,username,location,following,followers,retweet_count,search_term,text
1,1.51E+18,24/03/2022 17:38,looseuterus,mostly sea level,789,1257,0,ocean pollution, ooh marvelous i suggest stefan helmreichs alien ocean  max liboirons pollution as colonialism  and although i havent read it yet saturation also on duke edited by melody jue amp rafico ruiz im also happy talk abt articles more specifically 12
2,1.51E+18,24/03/2022 17:36,HamlettClaire,"Oxford, UK",658,1220,0,ocean pollution, im writing a story that has to do with ocean noise pollution i dont know how many livestock ships there are but abolishing live export globally could at least help bring down ship traffic a little too
3,1.51E+18,24/03/2022 17:29,AmericanGeo,"New York, New York",3642,11452,1,ocean pollution,our latest is out now  ocean light pollution explore where artificial light pollution in our oceans is most dense and how it affects marine life with the first global atlas of artificial light in the sea 
4,1.51E+18,24/03/2022 17:27,neverdefunct,"Zephyrhills, FL",636,192,0,ocean pollution, probably not due to the pollution thats everywhere maybe we should start with the ocean and the air
5,1.51E+18,24/03/2022 17:15,OurWaterfront,"New York, New York",3265,5529,1,ocean pollution,underwater noise pollution could cause to experience hearing loss that leaves them more vulnerable to predators scientists have warnedread more from or in our 
6,1.51E+18,24/03/2022 16:45,Sauce_ardis,Planet of the apes!,10,0,0,ocean pollution,i myself now in this beautiful moment could sea vividly for the first time the separation of the energy without the pollution from the floor of the ocean from the further point from the parking lot meeting the sand then connecting the ocean ………
7,1.51E+18,24/03/2022 16:28,saucedo_sidra,The Universe IS # 1 whole!,1,0,0,ocean pollution,i myself now in this beautiful moment could sea vividly for the first time the separation of the energy without the pollution from the floor of the ocean from the further point from the parking lot meeting the sand then connecting the ocean ………
8,1.51E+18,24/03/2022 16:23,ricardoae,,306,206,0,ocean pollution, the ocean cleanup plastic pollution coallition unep iucn
9,1.51E+18,24/03/2022 16:23,Ashley_wealth,"London, England",161,47,1,ocean pollution, ocean and sea awareness is reaching its peak as ocean pollution is becoming a worldwide issue and we at are doing our best together with our partners  etc to keep the seas clean 
10,1.51E+18,24/03/2022 16:21,Ashley_wealth,"London, England",161,47,0,ocean pollution, ocean and sea awareness is reaching its peak as ocean pollution is becoming a worldwide issue and we at are doing our best together with our partners  etc to keep the seas clean 
11,1.51E+18,24/03/2022 16:20,Ashley_wealth,"London, England",161,47,0,ocean pollution, ocean and sea awareness is reaching its peak as ocean pollution is becoming a worldwide issue and we at are doing our best together with our partners  etc to keep the seas clean 
12,1.51E+18,24/03/2022 16:20,Ashley_wealth,"London, England",161,47,0,ocean pollution, ocean and sea awareness is reaching its peak as ocean pollution is becoming a worldwide issue and we at are doing our best together with our partners  etc to keep the seas clean 
13,1.51E+18,24/03/2022 16:18,Ashley_wealth,"London, England",161,47,0,ocean pollution, ocean and sea awareness is reaching its peak as ocean pollution is becoming a worldwide issue and we at are doing our best together with our partners  etc to keep the seas clean
14,1.51E+18,24/03/2022 16:10,MNTRYJOSEPH,Florida,244,559,0,ocean pollution,help us free the ocean of plastic pollution  free the ocean 
15,1.51E+18,24/03/2022 15:55,DantheClamMan,"Tucson, Arizona",3055,1893,0,ocean pollution,even the sea has light pollution these new maps show its extent  
16,1.51E+18,24/03/2022 15:45,CommsCMS,,0,6,0,ocean pollution,cms water news amp jobs 
17,1.51E+18,24/03/2022 15:37,BrayInstituteFE,Bray Co Wicklow,566,1045,0,ocean pollution,a group of bife fine art students working on a collaborative art project with the graphic design students made from scavenged materials to draw attention to ocean pollution aloadofrubbish 
18,1.51E+18,24/03/2022 15:37,BrayInstituteFE,Bray Co Wicklow,566,1045,0,ocean pollution,a group of bife fine art students working on a collaborative art project with the graphic design students made from scavenged materials to draw attention to ocean pollution aloadofrubbish 
19,1.51E+18,24/03/2022 15:18,impakterdotcom,info [at] impakter.com,5826,14566,10,ocean pollution,after five years of discussion on friday un delegates have still failed to come to an agreement on an ocean treaty that could potentially save the sea — now scientists and environmentalists are getting worried read more below  
20,1.51E+18,24/03/2022 15:10,IrisFisherr,"Montréal, Québec, Planet Earth",398,574,1,ocean pollution,from space debris to ocean trash the two are different yet the same pollutiondebris that can be of great consequence to the fact that we can go to space and the bottom of the ocean proves how innovative we can be lets be bettergraphic by photo by 
21,1.51E+18,24/03/2022 15:06,PeronaSara,,635,936,1,ocean pollution,even the sea has light pollution these new maps show its extentlights from coastal and offshore development may impact marine organisms far below the surface 
22,1.51E+18,24/03/2022 14:31,WetTribe,"Atlantic, Pacific, Indian, Arctic, & Southern Oceans",2479,1620,0,ocean pollution,the turtle became of the poster child for ocean plastic pollution but had the unintended consequence of focusing primarily on straws – however the truth was the real accelerating issue was plastic itself especially microplastics both primary and secondary 
23,1.51E+18,24/03/2022 14:29,sarcasimisreal,,40,4,0,ocean pollution, really how about ocean pollution ans i’m sure the data from china is providing is real accurate not even close
24,1.51E+18,24/03/2022 14:28,lennartjoos,,617,134,0,ocean pollution,…investing in companies creating scalable solutions to challenges such as overfishing biodiversity loss and pollution in addition to opportunities within clean energy green protein shipping and carbon capture 
25,1.51E+18,24/03/2022 14:03,Oceantokens,Atlantic Ocean,233,410,5,ocean pollution,ocean and sea awareness is reaching its peak as ocean pollution is becoming a worldwide issue and we at are doing our best together with our partners  etc to keep the seas clean 
26,1.51E+18,24/03/2022 13:58,BasenDatan,,3,0,0,ocean pollution,oops cleaning the great pacific garbage patch was probably a bad idea “was probably a bad idea” is dumb clicks bait
27,1.51E+18,24/03/2022 13:55,BasenDatan,,3,0,0,ocean pollution,blaa blaa blaaaa so the great ocean clean up isn’t perfect so it hasn’t solved the plastic pollution choking our oceans yet so what are these biologists actually doing to solve the problem nothing i say put up or shut up
28,1.51E+18,24/03/2022 13:55,BasenDatan,,3,0,0,ocean pollution,oops cleaning the great pacific garbage patch was probably a bad idea 
29,1.51E+18,24/03/2022 13:46,DanielaSDGs,"Lausanne, Switzerland",500,937,3,ocean pollution, coral reefs are endangered by the they offer valuable ecosystems on earth and due to high ocean temperatures ocean acidification and pollution they are dying time to act before its too late 
