,id,created_at,username,location,following,followers,retweet_count,search_term,text
1,1.52E+18,29/04/2022 16:18,butanmist,,410,88,0,ocean pollution,"#pollution
Research discovers new bacteria that stick to plastic in the deep sea to travel around the ocean https://t.co/4cW4umTvtY"
2,1.52E+18,29/04/2022 16:17,GAIAnoburn,International,2253,6740,0,ocean pollution,"@courtneymilan Both are terrible outcomes-- that's why we should not applaud Uniqlo for incinerating their cheap plastic clothing. Plastic becomes pollution as soon as it's made, whether it goes into the ocean, an incinerator, or a landfill. It's time for @UniqloUSA to #breakfreefromplastic"
3,1.52E+18,29/04/2022 16:16,xxLonewolf310xx,,567,469,0,ocean pollution,@muskaannft @Chillnchameleon is first NFT project to directly fund Ocean Conservation IRL recycleocean. #Mindset #community #recycling #chillinchameleons #NFTs #utilityNFT #cryptocurrencies #Ethereum #positivity #art #pollution #ETH #BAYC #Metaverse #rarity #Blockchain #chamilia #chamsocial https://t.co/KvRX6OqHfa
4,1.52E+18,29/04/2022 16:10,ExtractionArt,Planet Earth,2196,629,0,ocean pollution,"""Under the high emissions scenario that the scientists modeled, in which pollution from the burning of fossil fuels continues to climb, warming would trigger ocean species loss by 2300 that was on par with the five mass extinctions in Earth’s past."" https://t.co/agMS6bVOnw"
5,1.52E+18,29/04/2022 16:01,CountingCoral,,328,175,0,ocean pollution,"""A dramatically changing soundscape is making life more complicated for ocean species, and that’s critical because noise is layering atop other stressors a species might be facing, like chemical and plastic pollution, or overfishing""
https://t.co/Mlu5wOSJlV. https://t.co/Zns4UeE7L2"
6,1.52E+18,29/04/2022 15:47,ClimateBen,"Paris, France",48372,89518,36,ocean pollution,"Abrupt climate change with 1.4°C-1.9°C of global warming in the 2020s combined with chemical, plastic, light &amp; noise pollution plus land &amp; ocean ecosystem destruction means we face an accelerating extinction predicament necessitating immediate profound economic system change. 🧵"
7,1.52E+18,29/04/2022 15:31,ecoMagNews,Global,1418,3128,0,ocean pollution,"Microplastics can carry land-based parasites to ocean, affecting wildlife and human health, finds @ucdavis. 

#Plastic #Pollution #OceanNews

https://t.co/xj5MnBInn6"
8,1.52E+18,29/04/2022 15:20,SmittyX1981,,12,0,0,ocean pollution,@GVotancia @OrwellNGoode Not dump trash in the ocean for a start. The overwhelming majority of pollution comes from those two countries. The US makes less than 1% of the micro plastic found in garbage island.
9,1.52E+18,29/04/2022 15:20,kskskskskow,,6,1,0,ocean pollution,"@IsamarTeaches I would like to have country with no factories always summer never cold weather, no pollution no billionaires in the worlds no pollution in the water and in the ocean and clean water for everyone https://t.co/VDG4GrXKxO"
10,1.52E+18,29/04/2022 15:17,SarahDiver13,,3,1,0,ocean pollution,Plastic Pollution in the Ocean https://t.co/RjcCsX9FuW via @YouTube
11,1.52E+18,29/04/2022 15:14,GlobalActionPW,"UN Headquarters, NY, NY",3159,6655,1,ocean pollution,"In UN General Assembly on the 40th anniversary of UNCLOS, @USUN cites ocean pollution, unsustainable fishing and the diverse impacts of climate change which will require Convention adaptations, but this is fully feasible."
12,1.52E+18,29/04/2022 15:02,maya_givens,Gypsy Soul; Ohio for now.,3411,2621,0,ocean pollution,"@MGsovski @RadioFreeTom @JoeSixpack_USA @mcouvaris @AxeCap614 @BradMossEsq Not to mention the pollution and destruction of the ocean floor, both mostly done by the fishing industry."
13,1.52E+18,29/04/2022 14:50,trot_a,,2,11,0,ocean pollution,plastic pollution : an estimated 12.7 million tonnes of plastic end up in the ocean each year (people - lets not die)
14,1.52E+18,29/04/2022 14:23,Giodude1580,On the Infinity Train,935,837,0,ocean pollution,"@jaxajueny They defended it by saying it’s not an American ocean and thus there can’t be anything bad in the water, only oceans that border the US have pollution, body waste and harmful bacteria"
15,1.52E+18,29/04/2022 14:22,AliceViews,Barbados,120,117,0,ocean pollution,"@sassymerman @KushPrinc3 @RoatansFinest Incorrect. America and a few other countries are responsible for like 99 percent of pollution. Also, the oceans and seas differ in their makeup in different areas. The ocean around Barbados has a high salt content so ppl dip fruits. Don't do this in your filthy brackish water."
16,1.52E+18,29/04/2022 14:02,nazani14,Virginia,7163,8237,0,ocean pollution,"@GovernorVA Fight climate change, fight deforestation &amp; pollution.
https://t.co/DhvkSaNQto"
17,1.52E+18,29/04/2022 13:51,TideOceanMat,"Basel-City, Switzerland",60,110,0,ocean pollution,"@AGRobBonta you’re right, the virgin plastics industry doesn’t solve the problem. That’s why we developed #tide ocean material, to tackle plastic pollution by upcycling ocean-bound plastics. if you’re interested: Let’s talk!"
18,1.52E+18,29/04/2022 13:48,NANO4Ocean,,321,626,0,ocean pollution,"#OceanNews Free online Course: An Introduction to Oil Pollution Preparedness, Response and Co-operation https://t.co/cbJVWjOKFe"
19,1.52E+18,29/04/2022 13:29,WGEO_org,"Dubai, United Arab Emirates",148,3727,1,ocean pollution,"How we manage our natural resources is essential for humanity, and to counterbalance the effects of #ClimateChange. The #SDGs aim to sustainably manage and protect marine and coastal ecosystems from pollution as well as address the impacts of ocean acidification. https://t.co/dT3bjWtEca"
20,1.52E+18,29/04/2022 13:18,bobhillbrain,,636,520,0,ocean pollution,"#ocean is in threat and we are in threat with It https://t.co/kwclTMuaFk due our #climatecange #pollution #environment 
Beneath the blue: dive into a dazzling ocean under threat – interactive https://t.co/6Q0iVORi37"
21,1.52E+18,29/04/2022 13:14,Sarath_praveen_,#நெல்லை_சீமை,568,98,0,ocean pollution,Stop ocean plastic pollution https://t.co/43uTWCzgdK
22,1.52E+18,29/04/2022 12:57,st_bernardsps,,147,247,0,ocean pollution,P4/5 doing some research on ocean pollution. https://t.co/ldTcVw6Mg5
23,1.52E+18,29/04/2022 12:55,LindaZehrung,"Anderson, IN",429,187,0,ocean pollution,No place on Earth is immune to microplastic pollution. We must take action now. Use your voice to push for policies to help keep plastics out of our ocean. https://t.co/dB3HK7Mtrm
24,1.52E+18,29/04/2022 12:50,JapuraS,bali ,0,2,0,ocean pollution,"From pollution to solution
A unique NFT project which solves the problem of ocean pollution.

Our three heroes in the project framework will swim a marathon of 90 km in the open ocean to draw the world’s attention to the problem of plastic pollution of the ocean. https://t.co/2A9xxgbzT4"
25,1.52E+18,29/04/2022 12:14,4skinnithoughts,,648,237,0,ocean pollution,@maraainblue Fr. It's not like people don't pee and bathe in the ocean ... Plus all the pollution and possible contamination from many things including fūkūshima which has been melting down since 2008 or 2011 (?)
26,1.52E+18,29/04/2022 11:48,BloombergAsia,,566,96457,0,ocean pollution,"BDO Unibank, the Philippines’ largest bank by assets, will sell bonds to help fight marine pollution and preserve clean water resources https://t.co/q1a1jSs48t"
27,1.52E+18,29/04/2022 11:40,AnneWanAuthor,Hampshire UK,115,163,7,ocean pollution,"FANTASTIC MORE PLASTIC!
Everyone thinks the ocean is the perfect place to hide their plastic. Ayla disagrees! As plastic pollution swamps her island she decides to act. An empowering story to inspire the next generation to initiate change! #WMPitch #PB"
28,1.52E+18,29/04/2022 11:37,Aterasboi,,18,6,0,ocean pollution,"Sad Atera on sale in Open sea link in bio.

About Avatar:Atera, which has been complained about the pollution of the ocean over the years.

#NFTCommunity #NFTs #NFTartwork #nft https://t.co/Mb79wD61ME"
29,1.52E+18,29/04/2022 11:00,CoexistProjects,,214,132,1,ocean pollution,"How microplastics in the ocean will affect marine life. 🧫
Read more: https://t.co/ta4Sb1fBzO
.
#coexist #saveourseas #marineconservation #marinelife #ocean #saveourocean #marinebiology #microplastics #plasticpollution #microplasticpollution #oceanpollution #pollution"
30,1.52E+18,29/04/2022 10:15,ssgovforum,"Washington, D.C.",4967,4281,2,ocean pollution,An #ocean of #noise -  how #sonic #pollution is hurting #Marine #life https://t.co/mGYP8N0Q2G
31,1.52E+18,29/04/2022 10:00,chriscartw83,Poland-Krakow,391,6442,4,ocean pollution,"Incredible article 
How pharma products lead to possible extinction in oceans 

Widespread pollution of nature with unknown consequences 

I am so immensely happy not to be 20 years old in 2022

https://t.co/tBVv3NJg7E"
32,1.52E+18,29/04/2022 9:50,trot_a,,2,11,0,ocean pollution,plastic pollution : a truckload of plastic is dumped into the ocean every minute (people - lets not die)
33,1.52E+18,29/04/2022 9:30,CF_Conf,"London, England",870,1527,0,ocean pollution,New newsletter - CMS Water News &amp; 53 Jobs: https://t.co/ur17B19tUP | Scotland's lochs &amp; reservoirs warming rapidly - Ofwat CEO - Future Water Research - Protests over sewage in rivers - Nature Recovery Green Paper – UN 2023 Water Conference - #Water #Flood #Jobs #Coast #Ocean https://t.co/Da5eoRz0qS
34,1.52E+18,29/04/2022 9:23,business,New York and the World,1392,8206156,12,ocean pollution,"BDO Unibank, the Philippines’ largest bank by assets, will sell bonds to help fight marine pollution and preserve clean water resources https://t.co/C0Czc5fqeE"
35,1.52E+18,29/04/2022 9:10,LisaMarieCricht,Australia,1915,966,0,ocean pollution,"https://t.co/GRuyRYGM14 An opportunity to reduce pollution &amp; emissions, reduce ocean noise pollution impacting marine species. Integrating all circular economy &amp; ESGs in their trade routes. A carbon levy applied during the transition to decarbonisation in ocean jurisdictions 🎧🌴"
36,1.52E+18,29/04/2022 8:47,iffnmanchester,"University of Manchester, UK",3643,4051,0,ocean pollution,Fish on drugs: cocktail of medications is ‘contaminating ocean food chain’ https://t.co/wpzlXh5d47 @guardian #Food #FoodSystems #foodsafety #seafood #contamination #pollution
37,1.52E+18,29/04/2022 8:38,MNTRYJOSEPH,Florida,245,575,0,ocean pollution,Help Us Free The Ocean Of Plastic Pollution - Free The Ocean https://t.co/ll7oxCS7Qj
38,1.52E+18,29/04/2022 8:30,GCSLibrary,Gower College Swansea,582,273,0,ocean pollution,"""Plastic Paradise""
Sky Correspondent Tom Rayner reports from the Cocos Islands in the Indian Ocean on how the world's plastic pollution is posing a huge environmental problem for this remote community.
Watch for free on GCS TV! 👉🏻 https://t.co/BxHQ57C0ij https://t.co/wSq7nYOJxl"
39,1.52E+18,29/04/2022 8:18,astonmead,London & Home Counties,2335,2532,0,ocean pollution,"They are so close to raising £100,000 for their ocean-saving campaigns.

That's £100,000 to use to fuel the fight against disgusting sewage pollution. It's £100,000 to use to make water companies CLEAN UP THEIR ACT.

Please donate if you can. https://t.co/aZwnhZ54qa"
40,1.52E+18,29/04/2022 8:08,TimKell17198676,,60,12,0,ocean pollution,"@romyreiner Useless masks now make up 9.2 % of ocean pollution. Over 3 billion masks are floating around the ocean in just 2 yrs time! 9.2%!!! So help save the planet,end useless mask mandates. Reverse virtue signal-  if you wear a mask you h@te the earth"
41,1.52E+18,29/04/2022 8:00,speakrs4schools,United Kingdom,2712,13800,0,ocean pollution,"Would you like to find out how to fight against ocean pollution? 🌊✊

Check out this #GreenSkills virtual broadcast with @HugoSAS of Surfers Against Sewage @sascampaigns  #OceanActivists https://t.co/xUxAhMzHmG"
42,1.52E+18,29/04/2022 7:30,insideclimate,Everywhere,2431,150559,4,ocean pollution,"If greenhouse gas pollution remains unchecked, global warming could trigger the most catastrophic extinction of ocean species since the end of the Permian age, about 250 million years ago, a new study warns.

https://t.co/A8WXrl555b"
43,1.52E+18,29/04/2022 7:09,kaspars_gasuns,Ogre,4994,2054,0,ocean pollution,"""Under the high emissions scenario that the scientists modeled, in which pollution from the burning of fossil fuels continues to climb, warming would trigger ocean species loss by 2300 that was on par with the five mass extinctions in Earth’s past.""

https://t.co/FqNQspbvHR"
44,1.52E+18,29/04/2022 6:17,martinwaller10,"Woodbridge, England",490,2760,0,ocean pollution,My latest for East Anglia Bylines on why water and pollution is more complicated than it looks: https://t.co/QFNmZYsACH
45,1.52E+18,29/04/2022 5:31,StephenBengSL,Singapore,818,1156,5,ocean pollution,3P consultation ends well when the importance of #community relationships are at par with the ownership of issues. @MSEsingapore @sgmarineparks #pollution #marinedebris #ocean #sustainability https://t.co/ypoud7hDBJ
46,1.52E+18,29/04/2022 4:36,graceofyul,"Tiohtià:ke,Kanien'kehá:ka land",1736,388,0,ocean pollution,"In case you want to know how bad pollution has gotten, this is a piece of Frozen merchandise at the bottom of the Mariana’s Trench, the deepest point in the ocean at nearly 11 km under sea level. YOU CAN LITERALLY BE AT THE BOTTOM OF THE OCEAN AND STILL NOT ESCAPE FROZEN. https://t.co/TQ2KfNfvHv"
47,1.52E+18,29/04/2022 4:33,baghwar_sibani,,2,0,0,ocean pollution,"Plastic pollution in the ocean is reaching very levels and only together can we fight to stop this,,,,,,,, jai hind https://t.co/khsymXDCmq"
48,1.52E+18,29/04/2022 3:36,womanatmile0,"Victoria, British Columbia",4985,3940,0,ocean pollution,"Plastic Particles Discovered Deep in Live Human Lungs for the First Time - intelligentliving: Plastic pollution is all over the planet, from the Arctic to the Antarctic, from the ocean’s deepest depths to the highest peak in the mountain, and... https://t.co/rMZoajMyAh"
49,1.52E+18,29/04/2022 3:36,imjeremiahlewis,,156,554,0,ocean pollution,"the way ppl think just because the water is clear means they can ignore that there was VISIBLE particles floating next to the mango, there’s other ppl swimming in the water, water pollution is still a thing &amp; sea creatures use the ocean as their bathroom i- 🤢🤢🤢 https://t.co/e4W0sco9zr"
50,1.52E+18,29/04/2022 3:24,navneetjha_me,,387,44,0,ocean pollution,"More than 90% of plastics never get recycled and end up in a landfill or making its way into the ocean as litter.
#plasticpollution
 https://t.co/KFiobD3a4x"
51,1.52E+18,29/04/2022 2:51,CaffeYole,"Pismo Beach, CA",231,81,0,ocean pollution,"🌊FTO🌊 Every day, we can do little something for our planet✨ Help Free The Ocean Of Plastic Pollution – Free The Ocean https://t.co/G2DR3h9jJ0"
52,1.52E+18,29/04/2022 2:35,wraithripper,,12,2,0,ocean pollution,@JonesNoWonder @Fatalic_Dj @1983_bunny @BarbaraFineAss @preshbalogun @jaxajueny @cookhyena you trippin same thing that makes a pool dirty gon make that water dirty and its hella ppl out there everyday ocean is also responsible for hella pollution so that shit is still nasty
53,1.52E+18,29/04/2022 2:35,paulinestdenis1,"Brooklyn, NY",1105,639,1,ocean pollution,@AGRobBonta thank you for calling Exxon on plastic pollution - writing from nyc and the Atlantic ocean - im 63 and in my lifetime I have seen the horror of unending plastic garbage everywhere. when I was a child it didn’t exist - Exxon polluted the world - knowingly and now they must pay
